rowid,stationid,city,chinese,latitude,longitude,pm25,pm10,o3,no2 ,so2,co,useless1,useless2,useless3,useless4,useless5,useless6,time
144920,498,Tianjin,Î_©_Ç«,39.085164,117.207281,183,158,22,33,26,16,13,0,1017,41,20,2.01E+13,1396436400
145391,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,117,61,18,40,13,9,16,12,1015,77,9,2.01E+13,1396447200
145444,36,Beijing,Îë„__å,39.955906,116.474246,155,89,39,19,11,5,14,0,1022,38,9,2.01E+13,1396458000
145456,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,139,48,28,40,7,5,14,12,1014,89,3,2.01E+13,1396458000
145836,498,Tianjin,Î_©_Ç«,39.085164,117.207281,91,64,15,11,3,6,10,0,1023,50,9,2.01E+13,1396465200
146307,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,132,63,1,22,8,12,13,11,1017,88,4,2.01E+13,1396476000
146360,36,Beijing,Îë„__å,39.955906,116.474246,38,13,16,13,3,4,7,-16,1026,18,4,2.01E+13,1396486800
146372,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,152,47,24,25,6,4,14,13,1014,92,2,2.01E+13,1396486800
146752,498,Tianjin,Î_©_Ç«,39.085164,117.207281,112,82,14,13,4,6,17,-13,1024,12,18,2.01E+13,1396494000
147223,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,142,58,5,26,29,14,22,12,1019,53,4,2.01E+13,1396504800
147276,36,Beijing,Îë„__å,39.955906,116.474246,38,53,36,4,2,5,17,-29,1021,4,16,2.01E+13,1396515600
147288,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,114,43,41,14,5,5,20,7,1014,44,4,2.01E+13,1396515600
147668,498,Tianjin,Î_©_Ç«,39.085164,117.207281,59,250,25,19,9,2,11,-6,1022,30,16,2.01E+13,1396522800
148139,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,157,89,11,45,19,11,19,13,1020,68,4,2.01E+13,1396530000
148192,36,Beijing,Îë„__å,39.955906,116.474246,112,157,24,27,8,5,10,-9,1022,26,16,2.01E+13,1396544400
148204,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,72,34,43,11,4,4,11,3,1020,58,6,2.01E+13,1396544400
148584,498,Tianjin,Î_©_Ç«,39.085164,117.207281,72,61,17,12,9,4,6,-8,1021,36,9,2.01E+13,1396551600
149055,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,159,68,2,17,22,16,16,15,1019,94,4,2.01E+13,1396562400
149108,36,Beijing,Îë„__å,39.955906,116.474246,152,92,16,23,9,4,6,-5,1015,46,4,2.01E+13,1396573200
149120,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,122,59,23,36,14,4,11,3,1019,58,6,2.01E+13,1396573200
149500,498,Tianjin,Î_©_Ç«,39.085164,117.207281,162,157,13,28,48,0,16,-3,1013,27,9,2.01E+13,1396580400
149971,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,159,71,5,32,18,12,19,15,1019,78,9,2.01E+13,1396591200
150024,36,Beijing,Îë„__å,39.955906,116.474246,53,91,23,5,2,7,25,-15,1009,6,13,2.01E+13,1396602000
150036,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,160,81,41,27,19,7,19,-1,1014,26,1,2.01E+13,1396602000
150415,498,Tianjin,Î_©_Ç«,39.085164,117.207281,122,255,24,31,38,7,16,-4,1012,25,25,2.01E+13,1396605600
150886,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,137,60,15,34,10,10,17,13,1016,77,13,2.01E+13,1396616400
150939,36,Beijing,Îë„__å,39.955906,116.474246,97,104,34,17,7,7,11,-7,1022,28,4,2.01E+13,1396630800
150951,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,155,76,31,51,14,7,12,6,1015,67,8,2.01E+13,1396630800
151331,498,Tianjin,Î_©_Ç«,39.085164,117.207281,80,119,18,12,16,9,7,-2,1023,53,9,2.01E+13,1396638000
151802,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,134,60,6,23,8,9,15,13,1015,88,7,2.01E+13,1396641600
151855,36,Beijing,Îë„__å,39.955906,116.474246,59,53,18,18,3,6,10,-6,1025,32,2,2.01E+13,1396659600
151867,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,160,85,20,50,12,6,12,8,1015,78,2,2.01E+13,1396659600
152247,498,Tianjin,Î_©_Ç«,39.085164,117.207281,68,141,14,12,9,7,13,-8,1025,23,13,2.01E+13,1396666800
152718,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,149,61,4,28,10,12,15,12,1017,82,7,2.01E+13,1396674000
152771,36,Beijing,Îë„__å,39.955906,116.474246,42,28,37,5,4,9,19,-16,1020,8,7,2.01E+13,1396688400
152783,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,95,59,35,12,7,9,14,1,1019,42,8,2.01E+13,1396688401
153163,498,Tianjin,Î_©_Ç«,39.085164,117.207281,57,61,24,12,2,5,16,-13,1020,13,4,2.01E+13,1396695600
153634,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,132,52,6,29,5,11,14,13,1019,94,2,2.01E+13,1396702800
153687,36,Beijing,Îë„__å,39.955906,116.474246,139,107,38,20,6,3,11,-5,1021,33,0,2.01E+13,1396717200
153699,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,76,39,36,16,6,3,9,2,1025,61,1,2.01E+13,1396717200
154078,498,Tianjin,Î_©_Ç«,39.085164,117.207281,134,91,19,15,40,8,12,-5,1021,30,13,2.01E+13,1396724400
154548,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,122,52,10,11,9,9,14,13,1018,94,2,2.01E+13,1396731600
154601,36,Beijing,Îë„__å,39.955906,116.474246,169,111,7,35,6,3,11,-7,1021,28,2,2.01E+13,1396746000
154613,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,72,41,28,24,8,3,10,2,1025,60,1,2.01E+13,1396746000
